"fct_ref","fct_citation","fct_location","fct_year","fct_desc","count","study_id","fct_id","ISO3","ISO2","NAME_ISO","NAME_FAO","NAME_LOCAL","SOVEREIGN","UNREGION1","UNREGION2","continent","fct_source"
"NA","NA","South Africa",NA,"RSA food composition tables",2,"S0126;S0142","SF038","ZAF","ZA","SOUTH AFRICA","South Africa","South Africa","South Africa","Southern Africa","Africa","Africa",NA
"SAFOODS, 2017","SAFOODS (2017). SAMRC Food Composition Tables for South Africa (5th ed.). Cape Town: South African Medical Research Council.","South Africa",2017,"South Africa FCT, 2017",1,"S0239","SF051","ZAF","ZA","SOUTH AFRICA","South Africa","South Africa","South Africa","Southern Africa","Africa","Africa",NA
"Wolmarans et al, 1992","WOLMARANS P, LANGENHOVEN M and FABER, M (1992) Food: Facts and Figures, the Complete South African Guide. Oxford University Press, Cape Town. 135 pp.","South Africa",1992,"South Africa FCT, 1992",1,"S0107","SF068","ZAF","ZA","SOUTH AFRICA","South Africa","South Africa","South Africa","Southern Africa","Africa","Africa",NA
"Wolmarans et al, 2010","Wolmarans, P., Danster, N., Dalton, A., Rossouw, K., & Schönfeldt, H. (2010). Condensed food composition tables for South Africa. Cape Town: Medical Research Council","South Africa",2010,"South Africa FCT, 2010",1,"S0232","SF069","ZAF","ZA","SOUTH AFRICA","South Africa","South Africa","South Africa","Southern Africa","Africa","Africa",NA
"South Africa FCT, 2018",NA,"South Africa",2018,"SAFOODS website; SAFOODS - South African Food Data System; South African dataset (Schönfeldt & Pretorius, 2018) (in EuroFIR FoodEXplorer)",3,NA,"I0038; L0007; L0008","ZAF","ZA","SOUTH AFRICA","South Africa","South Africa","South Africa","Southern Africa","Africa","Africa","infoods; langual; langual"
"Kulwa et al., 2015","Kulwa, K.B.M., Mamiro, P.S., Kimanya, M.E., Mziray, R., Kolsteren, P.W., 2015. Feeding practices and nutrient content of complementary meals in rural central Tanzania: implications for dietary adequacy and nutritional status. BMC Pediatr 15, 171. https://doi.org/10.1186/s12887-015-0489-2","Tanzania",2015,"Tanzania FCD, 2015",1,"S0187","SF025","TZA","TZ","TANZANIA, UNITED REPUBLIC OF","Tanzania, United Rep of","Tanzania","Tanzania","Eastern Africa","Africa","Africa",NA
"Lukmanji et al., 2008","Lukmanji, Z., Hertzmark, E., Mlingi, N., Assey, V., Ndossi, G. and Fawzi, W. (2008) Tanzania food composition tables. Muhimbili University College of Health and Allied Sciences; Tanzania Food and Nu trition Center; Harvard School of Public Health, Dar es Salaam, Tanzania.","Tanzania",2008,"Tanzania FCT, 2008",6,"S0144;S0192;S0195;S0220;S0224;S0250","SF028","TZA","TZ","TANZANIA, UNITED REPUBLIC OF","Tanzania, United Rep of","Tanzania","Tanzania","Eastern Africa","Africa","Africa",NA
"Tanzania FCT, 2008",NA,"Tanzania",2008,"Tanzania Food Composition Tables (English) (2008) - Zohra Lukmanji AND Ellen Hertzmark, Nicolas Mlingi, Vincent Assey, Godwin Ndossi, Wafaie Fawzi - Muhimbili University of Health and Allied Sciences (MUHAS), Dar es Salaam - Tanzania and Tanzania Food and Nutrition Centre (TFNC), Dar es Salaam - Tanzania and Harvard School of Public Health (HSPH), Boston, USA. 2008 (English); Tanzania Food Composition Tables",2,NA,"I0041; L0009","TZA","TZ","TANZANIA, UNITED REPUBLIC OF","Tanzania, United Rep of","Tanzania","Tanzania","Eastern Africa","Africa","Africa","infoods; langual"
"Tanzania FCT, 1974",NA,"Tanzania",1974,"The Tanzania Food Tables - ALD Marealle, East Africa Literature Bureau 1974 (Kiswahili)",1,NA,"I0044","TZA","TZ","TANZANIA, UNITED REPUBLIC OF","Tanzania, United Rep of","Tanzania","Tanzania","Eastern Africa","Africa","Africa","infoods"
"Tanzania FCT, 1985",NA,"Tanzania",1985,"Food Composition Table for Use in a Research Program on Vitamin A Deficiency in Tanzania - CE West, ed, Agricultural University, Wageningen, Netherlands, and Tanzanian Food and Nutrition Centre, Dar es Salaam, Tanzania 1985* vii + 41 pp (English)",1,NA,"I0043","TZA","TZ","TANZANIA, UNITED REPUBLIC OF","Tanzania, United Rep of","Tanzania","Tanzania","Eastern Africa","Africa","Africa","infoods"
